Time,ClimateRegionName,ClimateRegionIndex,NumSites,NEEC,SOMTC,AGB,AG_NPPC,BG_NPPC,Litterfall,AgeMortality,MineralN,TotalN,GrossMineralization,C_LiveLeaf,C_LiveFRoot,C_LiveWood,C_LiveCRoot,C_DeadWood,C_DeadCRoot,C_DeadLeaf_Struc,C_DeadLeaf_Meta,C_DeadFRoot_Struc,C_DeadFRoot_Meta,C_SOM1surf,C_SOM1soil,C_SOM2,C_SOM3,N_Leaf,N_FRoot,N_Wood,N_CRoot,N_DeadWood,N_DeadCRoot,N_DeadLeaf_Struc,N_DeadLeaf_Meta,N_DeadFRoot_Struc,N_DeadFRoot_Meta,N_SOM1surf,N_SOM1soil,N_SOM2,N_SOM3,SurfStrucNetMin,SurfMetaNetMin,SoilStrucNetMin,SoilMetaNetMin,SOM1surfNetMin,SOM1soilNetMin,SOM2NetMin,SOM3NetMin,TotalNdep,StreamC,StreamN,FireCEfflux,FireNEfflux,Nuptake,Nresorbed,TotalSoilN,Nvol,FrassC,
0, eco1, 0, 1540697, 0, 1274.7, 3223.5, 0, 0, 0, 0, 4, 103.3, 0, 0, 0, 1515.1, 425, 0.8, 0.8, 0.1, 0, 0, 0, 12.7, 25.5, 752, 484.4, 0, 0, 5.5, 3.1, 0, 0, 0, 0, 0, 0, 1.7, 1.7, 30.1, 57.2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 94.6, 0, 0, 
5, eco1, 0, 1540697, -197.4, 1250.3, 3500.6, 210.2, 55.8, 71.9, 56.3, 2.73, 109.9, 2.4, 82.5, 18, 1551.3, 433.5, 195, 49.8, 169.5, 80.6, 30.2, 31.5, 41, 62.6, 662.5, 484.2, 2.2, 0.4, 5.6, 3.2, 0.7, 0.4, 0.8, 3, 0.2, 1.3, 0.9, 5.8, 25.6, 57.2, 0, -0.1, 0, 0, 0.3, 0.9, -0.4, 0, 13.24, 0.07, 0.01, 0, 0, 2.7, 1.1, 97.5, 1.5, 0, 
10, eco1, 0, 1540697, -212.7, 1277.5, 3641.9, 243.3, 64.4, 98.1, 57.5, 2.75, 115.6, 3.4, 112.3, 24.7, 1594.6, 445.8, 208.5, 62.7, 375.6, 140.9, 72, 55.3, 59.9, 83.4, 649.8, 484.4, 3, 0.6, 5.7, 3.2, 0.7, 0.5, 1.9, 5.1, 0.4, 2.3, 1.6, 7.4, 23.3, 57.2, 0, -0.1, 0, 0, 0.6, 1.2, -0.5, 0, 13.22, 0.02, 0, 0, 0, 2.9, 1.5, 102, 1.51, 0, 
15, eco1, 0, 1540697, -141.2, 1326.4, 3251.8, 192.8, 51.1, 63.6, 52, 3.67, 117.3, 3.6, 76.1, 16.9, 1442.7, 407.5, 224, 68.7, 498.4, 150.3, 107.3, 60.8, 71, 95.1, 675.7, 484.7, 2.1, 0.4, 5.1, 2.9, 0.8, 0.5, 2.5, 5.4, 0.5, 2.6, 2, 8.7, 22.8, 57.3, 0, -0.1, 0, -0.1, 0.8, 1.2, -0.8, 0, 12.36, 0.06, 0.01, 0, 0, 2.5, 1, 105.5, 2.22, 0, 
20, eco1, 0, 1540697, -172.4, 1407.9, 3029.5, 224.8, 61.4, 81.4, 47.6, 3.47, 119.7, 3.8, 83.9, 19, 1331.6, 382.4, 258.7, 66.6, 625.7, 161.8, 138.4, 62.4, 86.8, 102.6, 733.4, 485.1, 2.3, 0.4, 4.8, 2.7, 0.9, 0.5, 3.1, 5.9, 0.7, 2.6, 2.2, 9.5, 23, 57.4, 0, -0.1, 0, -0.1, 0.9, 1.4, -0.9, 0, 11.43, 0.05, 0, 0, 0, 2.8, 1.3, 108, 2.05, 0, 
25, eco1, 0, 1540697, -115.8, 1414.5, 3040.1, 174, 44.7, 68.2, 48.6, 3.92, 120.9, 3.8, 73.5, 15.5, 1349.1, 384.7, 199.5, 63.6, 703.6, 161.1, 171.9, 64.9, 71.8, 107.6, 749.5, 485.6, 1.9, 0.3, 4.8, 2.7, 0.7, 0.5, 3.5, 5.8, 0.9, 2.7, 2.2, 10.2, 23.3, 57.5, 0, -0.1, 0, -0.1, 0.8, 1.4, -0.9, 0, 13.16, 0.07, 0.01, 0, 0, 2.2, 1.1, 110, 2.3, 0, 
30, eco1, 0, 1540697, -174.5, 1441.8, 3066.5, 225.7, 60.6, 87.2, 47.4, 3.46, 122.5, 4.1, 102.2, 22.9, 1331.9, 376.1, 207.4, 61, 757.8, 159.7, 204.5, 65.4, 73.5, 111.1, 771, 486.2, 2.8, 0.5, 4.6, 2.6, 0.7, 0.4, 3.8, 5.7, 1, 2.7, 2.1, 10.6, 23.9, 57.6, 0, -0.1, 0, -0.1, 0.9, 1.6, -1, 0, 14.14, 0.04, 0, 0, 0, 2.6, 1.4, 110.8, 2.1, 0, 
35, eco1, 0, 1540697, -116.6, 1487.6, 3030.1, 176.8, 49.2, 83.5, 48, 3.85, 124.8, 3.9, 85, 19.1, 1333.7, 377, 227.1, 62.3, 858.8, 168.4, 235.5, 67.3, 80.9, 114.6, 805.2, 486.9, 2.3, 0.4, 4.7, 2.6, 0.8, 0.4, 4.3, 6, 1.2, 2.7, 2.3, 11.1, 24.4, 57.8, 0, -0.1, 0, -0.1, 0.9, 1.5, -1, 0, 12.11, 0.02, 0, 0, 0, 2, 1.4, 113.6, 2.16, 0, 
40, eco1, 0, 1540697, -176.4, 1513.4, 3013.9, 235.1, 61.7, 81, 46.9, 3.53, 125.5, 4.4, 99.3, 22, 1311.8, 367.1, 211.6, 60.2, 875, 159.7, 263.7, 65.1, 77.5, 118.2, 830.2, 487.6, 2.7, 0.5, 4.6, 2.5, 0.7, 0.4, 4.4, 5.6, 1.3, 2.6, 2.2, 11.5, 25.1, 57.9, 0, -0.2, 0, -0.1, 0.9, 1.8, -1.2, 0, 12.37, 0.04, 0, 0, 0, 2.9, 1.3, 114.2, 2.06, 0, 
45, eco1, 0, 1540697, -94.4, 1501.8, 3104.2, 158.3, 41.2, 67.6, 49.6, 4.37, 126.6, 4, 83, 17.9, 1368.9, 377.5, 188.2, 58.8, 902.6, 153.7, 291.1, 63.5, 68.7, 118.5, 826.3, 488.4, 2.2, 0.4, 4.7, 2.5, 0.6, 0.4, 4.5, 5.3, 1.5, 2.5, 2.1, 11.8, 25.7, 58.1, 0, -0.1, 0, -0.1, 0.8, 1.6, -1.1, 0, 14.46, 0.09, 0.01, 0, 0, 1.8, 1.1, 115.8, 2.49, 0, 
50, eco1, 0, 1540697, -149.6, 1535.2, 3200.3, 211.7, 55.6, 81.5, 51, 3.98, 128.7, 4.3, 88.9, 19.2, 1407.5, 388.4, 230.3, 61.7, 993.1, 164.2, 316.4, 64.5, 80, 119.5, 846.6, 489.1, 2.3, 0.4, 4.8, 2.6, 0.8, 0.4, 5, 5.7, 1.6, 2.6, 2.2, 11.9, 26.3, 58.2, 0, -0.2, 0, -0.1, 0.9, 1.7, -1.1, 0, 13.83, 0.05, 0, 0, 0, 2.4, 1.3, 117.4, 2.24, 0, 
55, eco1, 0, 1540697, -111.1, 1544.2, 3236.9, 177.5, 47.7, 89.6, 51.1, 3.79, 129.5, 4.3, 105.1, 23, 1410.1, 385.5, 209.2, 60.8, 995.5, 159.5, 338.5, 63.5, 75.1, 121.1, 858.1, 489.9, 2.8, 0.5, 4.8, 2.6, 0.7, 0.4, 5, 5.4, 1.7, 2.5, 2.1, 12, 26.7, 58.4, 0, -0.2, 0, -0.1, 0.8, 1.8, -1.1, 0, 11.98, 0.05, 0, 0, 0, 1.9, 1.4, 117.7, 2.05, 0, 
60, eco1, 0, 1540697, -194.7, 1532.9, 3369.6, 249, 63.5, 85.2, 53, 3.55, 129.9, 4.5, 114.3, 24.7, 1463.8, 397.4, 192.1, 59.8, 999.8, 153.1, 360.3, 62.5, 69.1, 121, 852, 490.7, 3, 0.5, 4.9, 2.7, 0.6, 0.4, 5, 5.1, 1.8, 2.5, 2, 12.1, 27.1, 58.6, 0, -0.2, 0, -0.1, 0.8, 1.9, -1.2, 0, 14.53, 0.04, 0, 0, 0, 2.8, 1.3, 117.8, 2.08, 0, 
65, eco1, 0, 1540697, -239.3, 1542.3, 3694.6, 291.7, 73.9, 97.4, 60, 3.61, 131.9, 4.8, 101.8, 20.8, 1628.2, 439.9, 213.1, 64.1, 1109.2, 168.9, 386.5, 67.1, 74.6, 121.9, 854.4, 491.5, 2.5, 0.4, 5.4, 2.9, 0.7, 0.4, 5.5, 5.6, 1.9, 2.6, 2.2, 12, 27.1, 58.8, 0, -0.2, 0, -0.1, 1, 2, -1.1, 0, 13.71, 0.04, 0, 0, 0, 3.4, 1.5, 119.5, 1.93, 0, 
70, eco1, 0, 1540697, -185.8, 1554.4, 3777.3, 244.6, 62.7, 91.5, 62.1, 3.8, 132.7, 4.5, 100.3, 20.6, 1668.8, 449.3, 220.6, 69, 1132.8, 172.2, 410.9, 69.6, 75.5, 124.7, 861.9, 492.3, 2.4, 0.4, 5.5, 3, 0.7, 0.5, 5.7, 5.7, 2.1, 2.7, 2.2, 12, 27.1, 58.9, 0, -0.2, 0, -0.1, 0.9, 1.8, -1.1, 0, 13.41, 0.04, 0, 0, 0, 2.6, 1.4, 120.1, 2.01, 0, 
75, eco1, 0, 1540697, -144.6, 1594.8, 3709.8, 215.1, 56.2, 90.3, 63, 3.85, 133.3, 4.5, 77.8, 15.7, 1652.9, 446.4, 248.7, 73.6, 1184.6, 178.2, 436.9, 73, 83.9, 128.7, 889, 493.2, 1.9, 0.3, 5.5, 3, 0.8, 0.5, 5.9, 5.9, 2.2, 2.9, 2.3, 12.1, 27.1, 59.1, 0, -0.2, 0, -0.1, 0.9, 1.8, -1.1, 0, 14.01, 0.07, 0.01, 0, 0, 2.5, 1.4, 121.3, 1.98, 0, 
80, eco1, 0, 1540697, -95.6, 1629.9, 4092.3, 190.1, 50.2, 89, 69.3, 3.88, 136.7, 5.1, 90.6, 18.7, 1827.7, 492.6, 250.8, 73.7, 1296.1, 186.3, 460.6, 72.9, 87.3, 131.9, 916.5, 494.2, 2.2, 0.4, 6, 3.3, 0.8, 0.5, 6.5, 6.1, 2.3, 2.9, 2.5, 12.6, 27.6, 59.2, 0, -0.2, 0, -0.2, 1.1, 2, -1.4, 0, 13.94, 0.08, 0.01, 0, 0, 2.3, 1.4, 123.5, 2.1, 0, 
