Time,Year,Hnumber,LandfallLatitude,LandfallMaxWindSpeed,PathHeading,StudyAreaMaxWS,StudyAreaMinWS,ImpactsStudyArea,
2, 1, 1, 34.0517195846653, 126.59228, 344.336608573794, 126.40859595542, 69.6142357601425, Yes, 
8, 6, 1, 38.0574403082021, 136.59228, 283.678391836584, 50.6149292194404, 48.7767682567394, No, 
10, 8, 1, 35.1641233757138, 125.59228, 341.14784874022, 92.3141368184426, 53.7843335403327, No, 
10, 8, 2, 31.2241452930495, 88.59228, 338.934350721538, 51.5810737765875, 49.1227217700476, No, 
12, 10, 1, 32.7496816332452, 117.59228, 303.931812755764, 77.0308082712361, 57.5730774955469, No, 
14, 12, 1, 35.2055956322467, 126.59228, 288.10917083174, 106.022690219005, 64.5898481842725, Yes, 
14, 13, 1, 37.0642636343138, 127.59228, 312.37296577543, 53.8613060349378, 49.1723145220736, No, 
16, 14, 1, 35.4082711805124, 161.59228, 321.43833309412, 115.368675996626, 57.6714265283845, Yes, 
16, 14, 2, 35.0771467424231, 95.59228, 345.266778841615, 75.6709445388841, 51.6755975043804, No, 
16, 15, 1, 38.2398905590409, 155.59228, 356.264051347971, 50.2422796966304, 48.8308153021825, No, 
18, 16, 1, 35.3924308466259, 171.59228, 332.809558659792, 111.122404325082, 57.7621892725779, Yes, 
18, 16, 2, 35.6390816407977, 137.59228, 316.332364454865, 92.0392183845563, 54.0883260254237, No, 
18, 17, 1, 33.1117732103914, 136.59228, 297.893996015191, 106.190545531977, 69.5314585427742, Yes, 
18, 17, 2, 31.8346264275489, 111.59228, 288.313056752086, 60.1090609216268, 52.6144626726699, No, 
24, 22, 1, 32.0111979401438, 158.59228, 306.773341819644, 70.7101629607398, 56.4874932253197, No, 
26, 24, 1, 35.7392560561886, 131.59228, 298.431324772537, 97.2614567608163, 54.2936197943694, Yes, 
26, 25, 1, 38.2160840306198, 118.59228, 295.325205214322, 49.439680735661, 48.3712882996624, No, 
26, 25, 2, 32.6847662006505, 165.59228, 289.453053586185, 95.0393069494175, 63.7884082020125, No, 
30, 28, 1, 35.2897692812141, 149.59228, 318.434390053153, 117.741120297172, 58.4869937680484, Yes, 
32, 31, 1, 33.3414173291996, 171.59228, 325.966381914914, 150.079022848958, 91.8808071547136, Yes, 
34, 33, 1, 38.3155521603068, 114.59228, 307.797490991652, 49.2843376384492, 48.3253235714518, No, 
34, 33, 2, 32.0152127197245, 178.59228, 340.000104531646, 74.1308055578622, 56.2215139070125, No, 
34, 33, 3, 38.1187770071439, 146.59228, 350.40651589632, 50.4689175176663, 48.939120757294, No, 
36, 34, 1, 32.0107496096054, 117.59228, 319.964230693877, 62.1250034280071, 52.6213092154511, No, 
36, 35, 1, 34.5645010067849, 122.59228, 349.862543269992, 107.283878648707, 59.5718862810739, Yes, 
38, 36, 1, 33.7570576603059, 131.59228, 307.915985584259, 125.094349852659, 84.7892596571559, Yes, 
40, 38, 1, 37.1475633978145, 120.59228, 357.766502574086, 52.7670309902209, 49.3396280387466, No, 
40, 39, 1, 31.2144078698941, 142.59228, 305.51976095885, 57.3918270400682, 52.3171391504672, No, 
42, 40, 1, 31.6081142997602, 123.59228, 334.461501277983, 58.0195192489911, 51.0825405526748, No, 
42, 41, 1, 30.9297159931622, 101.59228, 337.936416603625, 51.569199485905, 49.1239929555156, No, 
46, 44, 1, 33.3824986110441, 96.59228, 325.59891462326, 83.9959037260648, 60.2928975857228, No, 
46, 45, 1, 32.6908784403233, 165.59228, 303.795663639903, 94.3134076709038, 63.4369629819933, No, 
48, 46, 1, 30.7222504970152, 161.59228, 307.441223599017, 55.7049647844635, 51.7855832979826, No, 
50, 48, 1, 32.2145431584679, 157.59228, 352.082864120603, 140.017139530505, 88.8421512823692, Yes, 
52, 50, 1, 31.5846953392494, 104.59228, 332.330426871777, 55.3984276288123, 50.2808885899431, No, 
54, 52, 1, 33.7058281281963, 135.59228, 296.305740959942, 127.020028993375, 81.9988786035541, Yes, 
54, 53, 1, 32.9676270749653, 112.59228, 305.331420339644, 81.1815568973988, 58.5902201411505, No, 
56, 54, 1, 36.4007289123721, 128.59228, 353.824257031083, 59.5275906851546, 50.6002319375173, No, 
56, 55, 1, 36.6658772370312, 166.59228, 282.1054212749, 77.2824516388952, 54.1073602531034, No, 
58, 56, 1, 37.7831923424266, 102.59228, 340.791167654097, 50.011263128194, 48.7265133595444, No, 
62, 60, 1, 38.0623068616726, 129.59228, 342.042303681374, 50.3277646680694, 48.899379888302, No, 
62, 61, 1, 38.1429960516281, 162.59228, 339.90446601063, 51.0922716469788, 49.211338521011, No, 
64, 62, 1, 37.2453363306588, 134.59228, 299.777619056404, 53.6592169682078, 49.1929501470492, No, 
64, 63, 1, 37.1453593640355, 124.59228, 328.425496667624, 53.0683031030867, 49.2290300557182, No, 
68, 66, 1, 32.7243765808409, 117.59228, 300.614653937519, 76.4028405164027, 57.5018045057773, No, 
72, 70, 1, 34.8609515689779, 155.59228, 340.394654348493, 124.213060244234, 61.7718312381762, Yes, 
74, 73, 1, 37.810237872228, 162.59228, 307.753029689193, 51.6484304866806, 48.849015159804, No, 
76, 75, 1, 31.0986232946627, 136.59228, 337.595752328634, 54.9720456369843, 50.1812986297683, No, 
78, 76, 1, 32.572943982482, 158.59228, 316.817289553583, 86.7145600953275, 64.5560637106903, No, 
80, 78, 1, 37.0529263066594, 152.59228, 353.050554767251, 55.6092388381477, 50.1679774589288, No, 
80, 79, 1, 35.3449632887961, 105.59228, 322.900331951678, 83.6537998342806, 52.811182003409, No, 
